Date,ProductName,ProductCategory,ProductSubCategory,ProductPrice,CustomerName,CustomerEmail,CustomerAddress,CustomerPhone,CustomerSegment,SupplierName,SupplierLocation,SupplierContact,ShipperName,ShippingMethod,QuantitySold,TotalAmount,DiscountAmount,NetAmount,StockReceived,StockSold,StockOnHand
2022-02-18,Justin,Electronics,Headphones,660.05,Andrea Thompson,,43849 Cassandra Junction- Mooremouth- KS 26126,+1-423-405-3762x83345,Silver,Brown-Miller,Seanfort,(502)758-2166,Group,Ground,96,63364.8,80.51,63284.28999999999,219,41,178
2023-08-09,Nathaniel,Electronics,Camera,652.35,Jesse Miles,njohnson@example.org,358 Patterson Falls- West Marie- MP 49758,(582)969-2541x2185,Silver,Brown-Miller,Seanfort,(502)758-2166,Ltd,Sea,16,10437.6,49.9,10387.7,185,17,168
2022-02-28,Michael,Toys,Dolls,46.23,Nicholas Meyer,evanssonya@example.net,075 Emily Fall Suite 541- Garciaborough- SD 87686,(963)756-0849x6379,Silver,Ramirez- Hicks-Lara,Dustinmouth,853-738-3918,LLC,Air,91,4206.929999999999,7.83,4199.099999999999,410,190,220
2023-07-19,Cynthia,Electronics,Headphones,872.85,Kelly Bailey,victor50@example.net,556 Phillips Station Apt. 448- Jasonport- ID 79660,(932)289-3110,Bronze,Lawson-Wilkins,Calderonchester,(277)930-2705x3206,LLC,Air,63,54989.55,155.78,54833.77,433,60,373
12-08-2021,NonExistentProduct,Electronics,Headphones,660.05,Tamara Smith,cbrown@example.org,2229 Barnes Walk Apt. 929- Janetmouth- CT 64593,4749295971,Gold,Smith PLC,Lake Candiceton,459-301-8580,Ltd,Sea,56,36962.8,142.31,36820.49,299,27,272
2022-04-14,Katie,Books,Non-fiction,642.11,Rhonda Pugh,michael80@example.org,9596 Ryan Cove- Joneschester- ID 35771,785.321.8111x61122,Gold,Brown-Miller,Seanfort,(502)758-2166,PLC,Air,44,28252.84,0.39,28252.45,174,76,98
2023-03-24,Anthony,Books,Academic,693.39,Adam Moore,nicolestuart@example.org,32682 Mcdonald Shores Apt. 333- Cassandrachester- AK 41548,457-338-4705x122,Bronze,Randall-Ballard,Popeport,933.564.7029x6917,PLC,Air,8,5547.12,179.82,5367.3,289,243,46
2023-04-06,Fred,Books,Academic,951.53,Melinda Walters,njackson@example.net,62422 Hogan Streets Suite 445- Port Lorrainehaven- MT 37863,929.920.7115x6030,Bronze,Lee-Miller,South Emilyview,+1-588-750-7646,PLC,Air,2,1903.06,214.3,1688.76,469,299,170
2022-12-18,Marvin,Clothing,Shirt,99513.0,Melanie Leach,gregory12@example.com,0599 Samuel Gateway- Colemouth- FL 39106,(282)724-5468x0205,Bronze,Roman-Chambers,Dennischester,,PLC,Air,11,10946.43,207.69,10738.74,75,25,50
2022-11-29,Robert,Electronics,Mobile,847.43,Alyssa Mills,kevin17@example.com,838 Alvarez Park Suite 204- North Melissa- NJ 88743,001-659-795-1341x0750,Silver,Brown-Miller,Seanfort,(502)758-2166,Inc,Ground,91,77116.12999999999,143.46,76972.66999999998,103,87,16
2022-10-26,Katie,Books,Non-fiction,InvalidPrice,Molly Martinez,aaronpayne@example.org,PSC 5656- Box 0681- APO AE 46962,+1-850-569-5855,Bronze,Campos-Murillo,Lawsontown,822-222-4939,Ltd,Air,23,14768.53,186.13,14582.4,403,319,84
2022-06-21,Justin,Electronics,Headphones,660.05,Erica Acevedo,opearson@example.com,USNS Barr- FPO AP 34276,652.277.8191x29592,Gold,King-Rodriguez,South Lindatown,7724600682,Inc,Air,58,38282.9,63.53,38219.37,156,54,102
2023-02-13,Anthony,Books,Academic,69339.0,Kelly Gilbert,john22@example.com,52617 Anne Cove Apt. 674- Padillabury- MT 88767,746-241-4737,Bronze,Colon- Palmer-Welch,Antonioshire,230-757-6575x898,Group,Sea,64,44376.96,133.26,44243.7,195,174,21
2021-11-23,Katie,Books,Non-fiction,642.11,Ross Hanna,robert06@example.net,849 Sean Cove Apt. 181- Rowlandberg- WY 71426,739.628.3291x79845,Gold,Rodriguez- Winters-Perez,Irwinhaven,6538306661,LLC,Sea,18,11557.98,182.03,11375.95,246,124,122
2021-10-27,Pamela,Electronics,Headphones,65111.0,Deborah Murphy,,073 Wood Harbor- Port Whitneyshire- FM 57762,994-664-1014x55870,Gold,Brown-Miller,Seanfort,(502)758-2166,LLC,Ground,57,37113.27,165.06,36948.21000000001,279,96,183
2022-05-09,NonExistentProduct,Clothing,Shirt,840.19,Andrew Sullivan,leslie86@example.org,5622 James Lodge Suite 080- Dawsonport- FL 52533,(948)431-6431,Gold,Ramirez- Hicks-Lara,Dustinmouth,853-738-3918,Inc,Air,38,31927.22,146.6,31780.620000000003,258,124,134
2022-08-08,Tammy,InvalidCategory,Furniture,431.82,Lauren West,sharon22@example.com,8496 Nathan Centers Suite 546- Brownville- OR 14803,273.830.9669,Bronze,Peck Group,West Lindafurt,+1-838-976-6137,Group,Ground,79,34113.78,2.15,34111.63,101,46,55
2022-09-01,NonExistentProduct,Clothing,Shirt,995.13,Cory Munoz,heather85@example.com,748 Kristine Plaza- East Carolynfurt- MH 88238,(437)645-6582x8983,Gold,Mathis- Olson-Ryan,Herreraland,(906)306-1777x264,LLC,Ground,5,4975.65,295.18,4680.469999999999,398,57,341
2022-03-28,Amy,Home & Garden,Decor,36401.0,Andrea Blankenship,thomasjohnson@example.com,0320 Scott Unions Suite 017- Hoodborough- NC 61406,336.304.8505x64078,Gold,Brown-Miller,Seanfort,,Group,Ground,71,25844.71,100.15,25744.56,317,90,227
2022-07-06,Michael,Toys,Dolls,46.23,Kevin Johnson,allison10@example.com,2852 Cruz Track Apt. 981- Garrisonview- OK 44210,504-521-1113x0589,Bronze,King-Rodriguez,South Lindatown,7724600682,and Sons,Sea,50,2311.5,10.59,2300.91,69,28,41
2022-04-16,Wanda,Toys,Educational,268.61,Sandra Carlson,jacquelineharper@example.org,94787 Barnes Pass- Nancyhaven- WV 69781,7355317772,Silver,Smith PLC,Lake Candiceton,459-301-8580,and Sons,Air,38,10207.18,40.12,10167.06,222,71,151
2023-03-29,Amy,Home & Garden,Decor,364.01,Daniel Larsen,,91766 Dixon Stream Suite 137- Saramouth- MH 98558,(736)665-6071,Bronze,Higgins-Sons,West Johnbury,,Group,Sea,80,29120.8,34.39,29086.41,222,163,59
2023-05-27,Marvin,Clothing,Shirt,99513.0,David Rogers,brucemichele@example.com,8279 Devin Forest Apt. 689- Stevensshire- NM 09597,840.382.3221,Gold,Roman-Chambers,Dennischester,001-324-909-1637x2831,LLC,Ground,18,17912.34,231.98,17680.36,283,65,218
2023-03-25,Wanda,Toys,Educational,268.61,Dylan Martinez,ggutierrez@example.com,715 Butler Summit- Prestonfurt- ID 92346,955.363.8322x255,Gold,Ramirez- Hicks-Lara,Dustinmouth,853-738-3918,Ltd,Air,6,1611.66,3.05,1608.61,442,36,406
08-31-2023,Amy,Home & Garden,Decor,364.01,James Johnson,dwilson@example.com,Unit 2078 Box 8503- DPO AP 71675,529.792.1915,Silver,Ramirez- Hicks-Lara,Dustinmouth,853-738-3918,PLC,Sea,70,25480.7,107.32,25373.38,220,27,193
2021-12-22,Amy,Home & Garden,Decor,0.01,Patricia Scott DVM,james08@example.org,45961 Margaret Plains Apt. 521- Tammyfort- NH 89190,(855)712-3444x16367,Gold,Mathis- Olson-Ryan,Herreraland,(906)306-1777x264,LLC,Sea,91,33124.91,74.96,33049.95,474,317,157
2022-01-10,Kristine,Electronics,Headphones,InvalidPrice,Stephanie Barnett,juanpace@example.com,7174 Sean Circle Apt. 755- Dennisbury- NJ 42786,437-217-0244x2505,Silver,Higgins-Sons,West Johnbury,230-568-4141,LLC,Air,64,14644.48,57.15,14587.33,347,235,112
2023-01-08,Cynthia,Electronics,Headphones,872.85,Joe Moore,kevin72@example.com,3757 Newman Alley- Port Erinfort- KS 72090,+1-774-645-5986x1037,Bronze,Mack- Wright-Mclaughlin,Alexandrachester,856-399-9995x715,Inc,Sea,55,48006.75,247.24,47759.51,203,124,79
07-05-2022,NonExistentProduct,Books,Academic,951.53,Courtney Pierce,markgarrett@example.com,USNV King- FPO AE 38572,856.270.9812x90132,Gold,Ramirez- Hicks-Lara,Dustinmouth,853-738-3918,Inc,Sea,31,29497.43,270.26,29227.17,230,31,199
2022-07-14,Shannon,Home & Garden,Gardening Tools,68.01,Steven Bridges,jcole@example.com,USCGC Greer- FPO AE 56203,+1-369-978-7073,Silver,Peck Group,West Lindafurt,+1-838-976-6137,LLC,Ground,49,3332.49,1.45,3331.0400000000004,449,42,407
2022-09-12,Michael,Toys,Dolls,4623.0,Elizabeth Rivers,linda17@example.org,USCGC Hubbard- FPO AP 80014,+1-847-717-4928x23746,Gold,Randall-Ballard,Popeport,933.564.7029x6917,PLC,Ground,14,647.2199999999999,2.36,644.8599999999999,256,151,105
2023-08-08,NonExistentProduct,Electronics,Headphones,228.82,Daniel Cook,darylgutierrez@example.com,78421 Nguyen Alley- Brandonhaven- WA 19371,4734603872,Bronze,Wagner- Jackson-Holt,Port Sarahview,+1-362-752-2777x1817,and Sons,Sea,100,22882.0,56.94,22825.06,465,69,396
2023-01-25,Robert,Electronics,Mobile,84743.0,Ronald Smith,guerreroamber@example.net,PSC 7437- Box 1760- APO AE 17003,690-823-1673,Bronze,Rodriguez- Winters-Perez,Irwinhaven,6538306661,Inc,Sea,10,8474.3,17.8,8456.5,212,75,137
2022-05-13,Nathaniel,Electronics,Camera,652.35,James Salazar,scottdodson@example.org,6047 Monica Inlet- West Amyburgh- ND 50715,001-693-388-9952x79136,Silver,Soto-Rivera,West Denise,805-650-6257x5876,and Sons,Air,72,46969.2,168.5,46800.7,345,229,116
2022-08-29,Angela,Toys,Action Figures,386.57,Teresa Watkins,kathryn09@example.net,195 Holmes Trafficway Apt. 935- South Robertborough- IL 83443,+1-327-555-2984,Gold,Lawson-Wilkins,Calderonchester,(277)930-2705x3206,PLC,Ground,1,386.57,87.65,298.92,448,95,353
2022-03-20,Michael,Toys,Dolls,46.23,Debra Thomas,matthewbaker@example.com,PSC 2363- Box 5142- APO AA 17259,(232)473-5435x031,Bronze,Mathis- Olson-Ryan,Herreraland,(906)306-1777x264,LLC,Ground,35,1618.05,7.6,1610.45,271,218,53
2022-02-18,Shannon,Home & Garden,Gardening Tools,68.01,Tami Delgado,torresdonna@example.net,9928 Gonzalez Drive Apt. 610- West Heatherbury- AZ 59429,(852)591-7172,Silver,Lee-Miller,South Emilyview,+1-588-750-7646,Group,Ground,32,2176.32,14.02,2162.3,120,17,103
2022-05-18,Anthony,Books,Academic,693.39,Tina Malone,victoria57@example.org,0194 Anderson Courts- East Donald- AR 87354,834-772-1154,Gold,Lee-Miller,South Emilyview,+1-588-750-7646,Ltd,Ground,55,38136.45,177.94,37958.51,275,160,115
2023-08-12,Elizabeth,InvalidCategory,Shirt,840.19,Nicholas Randolph,careyamy@example.org,42512 Diane Mission Apt. 793- Cindyville- KS 68097,429.482.1763x98485,Silver,Wagner- Jackson-Holt,Port Sarahview,+1-362-752-2777x1817,Ltd,Air,55,46210.45,35.5,46174.95,347,102,245
2022-03-07,Shawn,Electronics,Headphones,461.09,Marilyn Davis,vwalsh@example.com,Unit 6270 Box 4914- DPO AP 92363,877.459.9801x052,Silver,Smith PLC,Lake Candiceton,459-301-8580,LLC,Sea,52,23976.68,81.03,23895.65,321,131,190
05-03-2022,Wanda,Toys,Educational,26861.0,Susan Henderson,beverly69@example.net,80437 Mcmahon Junction- Mathisstad- CO 10143,4589646957,Silver,Lawson-Wilkins,Calderonchester,(277)930-2705x3206,Ltd,Ground,50,13430.5,45.09,13385.41,446,92,354
2022-10-07,Justin,Electronics,Headphones,660.05,Erica Taylor,hallcynthia@example.org,81099 Walker Prairie Suite 558- North Cassandra- WI 63614,001-251-925-3650x8826,Bronze,Peck Group,West Lindafurt,+1-838-976-6137,LLC,Sea,39,25741.95,187.03,25554.92,496,214,282
2023-08-19,Justin,Electronics,Headphones,66005.0,Christopher Clark,taylordylan@example.org,39900 Katie Extensions Apt. 820- Johnstonmouth- KS 15560,(223)632-0482x8111,Bronze,Roman-Chambers,Dennischester,001-324-909-1637x2831,Group,Air,24,15841.2,179.7,15661.499999999998,106,53,53
2021-11-08,NonExistentProduct,Electronics,Mobile,847.43,Dana Watson,mariemcintyre@example.com,4311 Stephen Station Apt. 800- New Gailview- MA 60689,+1-278-622-6041x14046,Gold,Randall-Ballard,Popeport,933.564.7029x6917,PLC,Sea,66,55930.38,214.52,55715.86,407,77,330
2022-06-17,Cynthia,Electronics,Headphones,872.85,Maria Coleman,traceymaddox@example.com,20655 Stephens Loop Apt. 072- Mullinstown- NY 74320,724.571.7321,Gold,Gilbert- Miller-Lee,Lake Juanland,+1-619-677-8121x28226,Inc,Sea,70,61099.5,4.64,61094.86,500,477,23
2022-09-16,Jamie,Books,Fiction,930.3,Sheila Pitts,meganolsen@example.com,75833 Walton Neck- Philipshire- CT 62848,281-769-5512x481,Gold,Soto-Rivera,West Denise,,Group,Sea,67,62330.1,76.74,62253.36,199,66,133
05-12-2022,Shannon,Home & Garden,Gardening Tools,6801.000000000001,Brittany Perez,swilliams@example.org,008 Christine View- Robertside- WV 44104,787-697-8147x5589,Gold,Thornton- Jackson-Gray,Leslieville,001-575-242-3572x740,Group,Ground,76,5168.76,13.65,5155.110000000001,63,25,38
2021-11-03,Wanda,Toys,Educational,InvalidPrice,Barbara Torres,,2644 Jeffrey Motorway- New James- OH 33254,001-398-371-6453x2651,Gold,Colon- Palmer-Welch,Antonioshire,230-757-6575x898,PLC,Sea,70,18802.7,35.57,18767.13,270,104,166
2022-12-16,Marvin,Clothing,Shirt,995.13,Stephen Mejia,fdavis@example.com,2329 Anthony Camp Apt. 354- Nelsonbury- PW 38714,+1-866-808-6010x174,Silver,Mathis- Olson-Ryan,Herreraland,(906)306-1777x264,and Sons,Sea,14,13931.82,214.62,13717.2,215,56,159
2023-08-10,Wanda,Toys,Educational,268.61,Jerry Barnes,jamessherman@example.org,11948 Hardy Mountain- South Patriciafurt- OK 37430,689.872.0498x60026,Silver,Lee-Miller,South Emilyview,+1-588-750-7646,LLC,Ground,82,22026.02,8.13,22017.89,158,19,139
2023-07-02,NonExistentProduct,Clothing,Shirt,995.13,Patricia Shields,derrickyates@example.com,641 Jason Neck- North Derek- AZ 20814,607.882.3270,Silver,Colon- Palmer-Welch,Antonioshire,,Inc,Air,55,54732.15,34.46,54697.69,128,40,88
03-31-2022,Jamie,Books,Fiction,930.3,Michael Haney,perezcatherine@example.com,358 Harmon Villages- New Jacobborough- CA 02702,+1-836-721-5754x6595,Gold,Smith PLC,Lake Candiceton,459-301-8580,LLC,Air,49,45584.7,83.16,45501.53999999999,466,360,106
2023-07-24,Jamie,Books,Fiction,0.01,Morgan Hatfield,manderson@example.org,903 Abbott Lock Suite 659- Port Paula- RI 16513,+1-893-695-4197,Gold,Smith PLC,Lake Candiceton,459-301-8580,LLC,Sea,78,72563.4,224.75,72338.65,404,402,2
2022-09-21,Marvin,Clothing,Shirt,995.13,Erika Adams,mary03@example.net,400 Jeremy Divide- Davidsonstad- AL 45582,994.290.1121x09497,Silver,White-Sons,West Scott,288-572-7043,PLC,Ground,61,60702.93,67.2,60635.73,99,17,82
2022-10-09,Jamie,Books,Fiction,99999.99,Jasmin Bean,ebennett@example.com,734 Miller Station- New Christopher- NY 73984,7809918507,Gold,Wagner- Jackson-Holt,Port Sarahview,+1-362-752-2777x1817,PLC,Sea,48,44654.4,78.17,44576.23,476,151,325
2023-07-24,Justin,Electronics,Headphones,660.05,Brandon Rivera,jacksonnatasha@example.org,174 Saunders Shores Suite 274- Duncanberg- MT 64617,534-461-2306x59875,Gold,Mathis- Olson-Ryan,Herreraland,(906)306-1777x264,Group,Ground,4,2640.2,187.92,2452.28,492,19,473
2023-02-17,Michael,Toys,Dolls,4623.0,Gerald Evans,zcordova@example.com,11073 Jessica Glens- Dillonside- NE 45396,(266)352-7203,Silver,Rodriguez- Winters-Perez,Irwinhaven,6538306661,Ltd,Ground,85,3929.55,5.13,3924.42,155,132,23
2022-11-23,Kristine,InvalidCategory,Headphones,22882.0,Kelly Coleman,dale94@example.com,6960 Lisa Bridge- West Alexismouth- NC 99526,(716)679-1066x559,Gold,Brown-Miller,Seanfort,(502)758-2166,Inc,Ground,48,10983.36,18.19,10965.17,226,87,139
2022-04-09,Katie,Books,Non-fiction,64211.0,Robert Mccann,hallvirginia@example.org,611 Angela Islands- Garciachester- MA 84842,780.934.7159,Silver,Peck Group,West Lindafurt,+1-838-976-6137,LLC,Ground,79,50726.69,130.54,50596.15,242,238,4
09-09-2023,Shawn,Electronics,Headphones,461.09,Richard Campos,austincasey@example.net,2092 Wilson River- North Ashley- CO 39987,691-625-7521x046,Silver,Peck Group,West Lindafurt,+1-838-976-6137,Inc,Air,28,12910.52,54.67,12855.85,157,50,107
08-14-2023,Marvin,Clothing,Shirt,995.13,Renee Fuentes,carrillojason@example.net,27636 Brenda Plains Suite 445- Lake Johnborough- WA 68398,+1-220-514-7277x63164,Gold,Lawson-Wilkins,Calderonchester,(277)930-2705x3206,Group,Sea,70,69659.1,126.16,69532.94,180,180,0
2023-08-16,Cynthia,Electronics,Headphones,InvalidPrice,David Moore,morrisdavid@example.org,90324 Gabriel Valleys- South Bradleystad- VA 59637,(730)442-5481x795,Silver,Rodriguez- Winters-Perez,Irwinhaven,6538306661,Inc,Sea,72,62845.2,252.71,62592.490000000005,164,56,108
2023-05-28,NonExistentProduct,Clothing,Shirt,0.01,Gerald Perry,ian72@example.com,8141 Cathy Wall Suite 049- East Kathrynbury- NY 06866,001-701-967-6736,Bronze,Rodriguez- Winters-Perez,Irwinhaven,6538306661,LLC,Air,95,79818.05,115.26,79702.79000000001,330,321,9
2022-01-26,Fred,Books,Academic,951.53,Christie Lynch,james66@example.com,3344 Schneider Mountains Apt. 394- Millershire- LA 99226,(729)443-8249x06441,Gold,Roman-Chambers,Dennischester,001-324-909-1637x2831,and Sons,Ground,57,54237.21,237.19,54000.02,316,312,4
2021-12-25,Jamie,Books,Fiction,930.3,Ryan Frank,melissa12@example.org,871 Jackson Rapids Suite 280- West Mercedesview- MN 82084,836.883.5742,Bronze,Colon- Palmer-Welch,Antonioshire,,Ltd,Ground,43,40002.9,80.46,39922.44,454,66,388
02-23-2023,Elizabeth,Clothing,Shirt,840.19,Bradley Jones,kara50@example.org,084 Rogers Stravenue- East Christina- AS 67591,+1-852-208-5021x045,Gold,Brown-Miller,Seanfort,(502)758-2166,LLC,Air,19,15963.61,247.58,15716.03,129,22,107
2023-06-11,Cynthia,Electronics,Headphones,InvalidPrice,Jordan Moore,james04@example.com,31038 Jennifer Field Suite 322- Davidview- SC 72181,8379685790,Bronze,Roman-Chambers,Dennischester,001-324-909-1637x2831,Inc,Sea,90,78556.5,125.79,78430.71,104,92,12
2022-06-04,Michael,Toys,Dolls,4623.0,Nicholas Aguirre MD,stephanie56@example.org,3967 Kennedy Ford Apt. 119- Dawnmouth- VI 49275,+1-426-327-1939,Gold,Roman-Chambers,Dennischester,001-324-909-1637x2831,Inc,Air,87,4022.01,2.26,4019.75,127,72,55
2021-12-09,Pamela,Electronics,Headphones,651.11,Monica Ellis,,856 Davis Mountains Suite 617- Garciaview- MP 94632,700.298.7864x718,Gold,Campos-Murillo,Lawsontown,822-222-4939,Group,Ground,10,6511.1,18.48,6492.620000000001,292,93,199
2021-11-10,Justin,Electronics,Headphones,0.01,Dylan Bell,donovanangela@example.org,09818 Hansen Tunnel- New Tiffany- MN 99481,964-250-6437x0072,Silver,Mathis- Olson-Ryan,Herreraland,,and Sons,Sea,77,50823.85,83.48,50740.37,51,25,26
2023-09-17,Tammy,Home & Garden,Furniture,431.82,Gabrielle Moreno,ohancock@example.net,26947 Reynolds Center Apt. 868- South Kelly- IA 59713,931.740.8223,Bronze,Higgins-Sons,West Johnbury,230-568-4141,and Sons,Air,51,22022.82,36.29,21986.53,170,64,106
2023-07-02,Marvin,Clothing,Shirt,995.13,Katherine Lewis DVM,ocosta@example.org,297 Camacho Radial Apt. 148- Mckayfurt- PA 44097,(475)575-5833,Silver,Ramirez- Hicks-Lara,Dustinmouth,853-738-3918,PLC,Sea,41,40800.33,80.92,40719.41,76,70,6
2021-10-31,Wanda,Toys,Educational,0.01,Sarah Sandoval,gmcdowell@example.net,00482 Jarvis Pike- Clarkville- FL 64750,(548)583-8995,Silver,Thornton- Jackson-Gray,Leslieville,001-575-242-3572x740,PLC,Sea,44,11818.84,15.77,11803.07,143,143,0
2023-01-19,Kristine,Electronics,Headphones,228.82,Julie Erickson,,7802 Mackenzie Lock Suite 998- West Michaelburgh- ND 46301,500.247.1989,Bronze,Rodriguez- Winters-Perez,Irwinhaven,6538306661,Ltd,Ground,59,13500.38,51.25,13449.13,109,1,108
2023-03-07,Shawn,Electronics,Headphones,461.09,Nancy Roberts,ochoatracy@example.com,2038 Pratt Manor- Port Courtney- MH 42974,(395)401-7032x636,Bronze,Colon- Palmer-Welch,Antonioshire,230-757-6575x898,LLC,Sea,52,23976.68,60.05,23916.63,485,1,484
2022-09-29,Martha,Books,Fiction,433.1,William Hamilton,zturner@example.com,8508 Jeffery Overpass Apt. 368- Susantown- IN 60053,7593168894,Bronze,Thornton- Jackson-Gray,Leslieville,001-575-242-3572x740,LLC,Ground,17,7362.700000000001,42.12,7320.580000000001,207,150,57
2022-07-18,Wanda,Toys,Educational,InvalidPrice,Brandon Palmer,heather58@example.org,24410 Bishop Lane- Frederickstad- WY 57068,237.738.1055x94512,Gold,Rodriguez- Winters-Perez,Irwinhaven,6538306661,Group,Ground,52,13967.72,29.87,13937.85,323,127,196
2023-04-16,Shannon,Home & Garden,Gardening Tools,0.01,Jeff Burns,kcollins@example.org,907 Perez Wells Apt. 773- North Reginafurt- MS 65722,001-592-647-8983x914,Gold,White-Sons,West Scott,288-572-7043,and Sons,Ground,18,1224.18,1.15,1223.03,381,176,205
04-09-2022,Tammy,Home & Garden,Furniture,InvalidPrice,Juan Baker,gabrielcalderon@example.net,190 Horne Ridge- South Lisatown- NM 85015,(883)867-2742x7799,Silver,Campos-Murillo,Lawsontown,822-222-4939,and Sons,Air,66,28500.12,47.53,28452.59,494,268,226
2023-06-17,NonExistentProduct,Clothing,Shirt,99999.99,Whitney Gilmore,mistythompson@example.com,5329 Morgan Loaf Suite 360- Lake Jenna- AK 19795,749-579-9041x03078,Bronze,Roman-Chambers,Dennischester,001-324-909-1637x2831,Ltd,Ground,30,29853.9,239.36,29614.54,231,27,204
2022-07-13,Robert,Electronics,Mobile,847.43,Stephanie Armstrong,yoderharold@example.com,3063 Corey Estates Suite 979- Monicatown- IA 51174,(868)380-5696,Bronze,Wagner- Jackson-Holt,Port Sarahview,,LLC,Sea,94,79658.42,52.76,79605.66,490,414,76
2022-09-30,Jamie,Books,Fiction,930.3,Kelly Brooks,kimberlylewis@example.com,59336 Shawn Crossroad Apt. 953- Lake Barbaraberg- NY 36807,952.271.5073x651,Bronze,Roman-Chambers,Dennischester,,LLC,Ground,48,44654.4,64.93,44589.47,278,274,4
2021-12-11,Pamela,Electronics,Headphones,651.11,Alicia King,whitemark@example.com,9722 Ewing Cove Suite 283- Jonesburgh- MI 12913,369-652-4825x38947,Gold,Thornton- Jackson-Gray,Leslieville,001-575-242-3572x740,Ltd,Ground,49,31904.39,58.77,31845.62,377,316,61
2022-11-04,Elizabeth,Clothing,Shirt,840.19,Jesse Mckenzie,egardner@example.com,6293 Daniel Route- Keithchester- CO 68865,(826)577-2227x3751,Silver,Thornton- Jackson-Gray,Leslieville,001-575-242-3572x740,PLC,Sea,73,61333.87,166.67,61167.2,420,242,178
